NODE_LIST
ID	X		Y
104	31.4247		11.0960
105	31.6933		12.1086
106	31.9408		13.2522
107	31.6487		14.3499
108	30.8020		15.0836
109	29.7426		15.2054
110	28.7674		15.4786
111	27.8700		14.8964
112	26.8508		14.8714
113	25.7192		15.3260
114	25.5197		15.7394
115	25.2986		16.2339
116	24.7381		16.5833
117	24.1617		17.0278
118	24.1439		17.4819
119	23.4712		17.7764
120	23.5988		18.3100
121	23.2722		18.8912
122	23.3058		19.4730
123	23.7764		19.5351
124	23.5307		20.2117
125	23.3353		20.8949
126	23.3451		21.4851
127	23.4549		22.1279
128	23.6717		22.7208
129	24.0611		23.0447
130	24.5715		23.2009
131	24.6637		23.6512
132	24.2575		23.7752
133	24.2486		24.4747
134	23.6679		25.9460
135	24.3617		21.6254
136	24.5015		22.2371
137	24.8325		22.5861
138	32.3341		18.9653
139	31.7877		20.0530
140	27.4185		22.1835
141	26.7440		21.8146
142	26.6014		20.9927
143	25.6075		21.0208
144	24.6946		21.0736
145	23.9915		21.0430
146	28.8380		18.5292
147	27.8128		19.7582
148	26.9042		20.4567
149	29.4009		8.6177
150	29.4742		7.3873
151	33.2813		6.7786
152	32.8635		7.0497
153	32.2830		7.0287
154	31.8816		6.8980
155	31.4747		7.0864
156	31.2419		7.4571
157	30.8351		7.3208
158	30.4596		7.8496
159	30.0534		7.6709
160	29.8883		8.0359
162	35.3837		6.3548
163	34.3270		7.2940
164	33.5142		8.4904
165	32.3448		9.3845
166	33.4285		8.0621
167	32.1595		9.0649
168	31.1342		9.4509
169	29.8449		9.3037
170	30.1499		10.5175
171	28.9894		10.5105
172	27.8426		10.5439
173	27.0513		10.5550
174	26.2892		10.5828
175	25.5693		10.5741
176	24.7728		10.5837
177	23.9209		10.5844
178	23.1594		10.5670
179	21.0191		10.4299
181	20.2557		9.0994
182	22.6601		11.5969
183	22.9936		12.3440
184	23.1080		12.7314
185	22.7399		12.7097
186	22.7641		13.2328
187	22.3881		13.0727
188	25.0226		14.9478
189	24.2749		14.5803
190	23.6145		14.2833
191	22.8971		13.9033
192	22.1309		13.4656
194	23.2455		17.0372
195	22.3469		17.0571
196	20.8546		17.4344
197	20.2200		17.5736
198	19.2382		17.3749
199	19.1489		18.0845
200	19.0031		18.8616
201	19.1858		19.8494
202	19.4463		20.5690
203	19.9363		21.0936
204	19.3652		21.4298
205	18.3711		21.4284
206	17.5051		21.4477
207	23.0537		23.4674
208	22.4266		23.6586
209	19.3975		11.9358
210	19.9415		12.2515
211	20.2895		12.7525
212	20.6551		13.4093
213	22.4968		18.9070
215	18.3332		22.6558
216	19.3609		24.2519
217	18.8090		23.8350
218	18.0911		23.6155
219	18.7039		25.2554
220	16.8410		26.2613
221	15.7013		25.3332
222	17.1687		23.9604
223	14.9747		24.0636
224	19.4924		27.1429
225	18.1076		26.4626
226	17.0925		26.8903
227	.37275		27.5638
228	1.09958		26.3545
232	20.5166		26.1097
238	-.958088	28.2946
239	18.1180		31.1842
240	15.1375		30.9664
241	31.6293		23.7790
242	29.6512		25.8435
243	27.5004		26.5736
244	26.3162		25.6772
245	25.1045		27.8975
246	29.8392		28.7177
247	27.5154		27.6843
248	26.7940		28.7923
249	25.7388		30.1906
250	25.6501		29.3122
251	24.2754		28.9497
252	22.6172		28.9846
253	25.5364		41.2167
254	25.4416		40.2769
255	25.4361		39.6304
256	25.4339		39.1267
257	28.7843		40.4241
258	26.6387		40.5560
259	26.2462		39.6293
260	25.7577		38.6263
261	25.6378		37.6635
262	26.4790		36.3472
263	25.8615		35.4192
264	25.7348		34.3153
265	25.0625		33.3298
266	25.0687		32.6605
267	25.0078		31.8692
268	25.5388		31.1781
269	24.0915		31.3823
270	22.3408		31.0070
271	21.3592		32.0686
272	20.6975		30.7595
273	7.7878		42.6450
274	29.2162		36.9170
275	27.8179		36.9539
276	28.8620		34.9074
277	27.1735		34.5307
278	28.9793		32.9572
279	27.2202		32.5502
280	24.9902		38.3788
281	25.0643		37.5687
282	24.6795		36.9298
283	23.9677		36.6230
284	23.8503		35.4691
285	23.6764		34.3853
286	22.8706		33.1779
287	22.0317		32.6985
288	23.9086		38.7167
289	23.0604		38.3722
290	23.2894		37.5567
291	22.7875		36.6638
292	21.2843		35.5066
293	20.6912		34.3993
294	20.4458		33.0820
295	19.9300		32.5696
296	23.9161		51.4479
297	23.2208		50.0110
298	22.9253		48.9020
299	22.0639		47.8216
300	20.7676		45.7719
301	19.9509		44.3000
302	19.5137		42.7104
303	20.3936		42.0377
304	19.7852		40.5212
305	19.6620		38.5347
306	18.0898		36.3945
307	17.4030		42.9514
308	17.5120		41.5351
309	24.0170		61.4497
310	21.0059		60.1136
311	20.9301		55.5348
312	19.6647		52.3264
313	18.4299		49.2963
314	17.3234		46.3999
315	16.3465		41.7477
316	15.7294		38.8792
317	16.1797		46.0336
318	16.2026		42.7050
319	14.7253		45.5626
320	13.0026		43.0484
321	14.7013		40.9289
322	14.9084		39.8790
323	15.2115		39.4243
324	10.4132		41.1568
325	11.8142		40.9115
326	12.9557		40.6607
327	-1.21552	32.6061
328	2.94531		27.572
329	-.905883	27.8894
330	25.2643		63.8088
331	24.7307		61.4463
332	24.1945		58.8556
333	22.3112		57.4797
334	24.2301		55.6357
335	25.3002		53.3165
336	23.6710		52.4926
337	24.6346		50.0532
338	23.8901		47.5360
339	21.2287		45.4361
340	21.2974		43.9653
341	23.4562		41.5678
342	24.7067		39.9008
343	24.3371		39.4832
344	22.0835		39.2706
345	22.0901		37.8838
346	22.0461		36.7460
347	20.9884		35.9749
348	19.2695		34.3218
349	17.665		34.916
350	16.2276		35.2050
351	14.8717		33.0238
352	13.7789		30.7083
353	11.9650		29.2070
354	8.6915		27.2337
355	6.2537		27.0509
356	4.28701		25.9912
357	1.49994		26.7149
358	-2.7032		27.0938
359	-4.61873	26.9934
360	-6.72488	26.2784
361	-7.62498	25.7986
362	-.407136	26.765
363	-2.38523	29.1918
364	-4.00202	30.9323
365	-4.00938	29.8715
366	-3.34358	28.3175
367	-5.59821	28.1088
368	-3.56968	37.232
371	-3.11689	36.1575
372	-3.34499	35.5935
373	-3.36506	34.5469
374	-3.87693	34.0432
375	-4.49837	33.4221
376	-4.22616	32.6631
377	-5.28147	31.4236
378	-4.56139	30.3692
379	-7.67038	35.9354
380	-6.85538	34.5994
381	-6.74161	33.2681
382	-6.26842	32.7828
383	-5.82389	31.6053
384	-6.03882	30.4576
385	-6.01217	28.8397
386	-5.33933	32.9974
387	-4.73559	34.5678
388	-4.89094	33.94
389	-6.23599	34.5824
390	-5.44789	34.1235
391	-6.34409	33.3775
392	-4.1414		36.5938
393	-4.83644	35.2494
394	-4.09919	34.9791
395	-1.14594	36.2266
397	-2.90469	35.2372
398	-2.69498	34.4364
399	-1.86629	34.0376
401	-2.20683	33.7454
402	-3.08408	33.8521
403	1.81955		35.4927
406	2.34514		33.4689
408	3.04012		35.9208
409	2.36915		34.5525
410	2.81312		33.6656
412	3.09027		33.0021
413	.836673		33.8481
418	4.26899		28.4686
420	2.92889		31.3213
421	1.65884		32.9015
422	.502205		33.1624
425	-.962716	33.9156
428	-3.80357	32.405
433	2.83813		28.6517
434	.872344		28.9451
436	-.730947	29.6134
438	-5.44884	31.0802
440	-5.36726	30.4173
441	-4.58374	30.3698
443	-5.5983		32.3654
444	-4.00163	30.3334
445	-4.80002	32.5693
446	29.1180		40.6400
447	29.1561		40.3140
448	28.6753		42.2514
449	27.5109		41.4294
451	25.3816		45.0327
452	24.7623		44.0558
453	25.0229		42.8772
454	25.4677		41.5733
455	25.0305		40.8853
456	36.5752		19.6244
457	35.4439		19.5576
500 	7.5000		55.0000
501 	0.5000	 	24.3382
502 	-7.62498	24.3382
503 	32.5000		40.5000
504 	11.5000		11.9000
505 	19.0000		9.0000 
506 	16.0000		21.5000
510  	-7.0000  	60.0000
511  	21.0000	 	60.0000
512  	27.2000 	4.50000
513	4.28701		24.5000
514	15.2115		34.3000
515 	-6.9000 	26.0000
550	29.5000		45.5000
551	27.5000		30.5000
552     7.5000          62.0000
END NODE_LIST
CHANNEL_LIST
   ID    UP   DOWN LENGTH
    1    2    1    8.4  
    2    3    2    8.4  
    3    4    3   13.6  
    4    5    4   13.6  
    5    6    5   11.8  
    6    7    6    9.0  
    7    8    7    8.9  
    8    9    8   11.0  
    9   10    9   14.7  
   10   11   10    9.3  
   11   12   11   12.4  
   12   13   12   11.3  
   13   14   13    3.9  
   14   15   14    4.2  
   15   16   15    4.3  
   16   17   16    2.7  
   17   18   17    2.7  
   18   19   18    4.2  
   19   20   19    3.5  
   20   21   20    4.2  
   21   22   21    6.2  
   22   23   22    6.7  
   23   24   23    3.4  
   24   25   24    6.4  
   25   26   25    4.0  
   26   27   26    3.9  
   27   26   28    5.0  
   28   29   27    5.0  
   29   28   29    3.8  
   30   29   26    6.6  
   31   30   29    6.3  
   32   31   30    6.8  
   33   32   31    3.7  
   34   32   30    6.5  
   35   33   31    8.5  
   36   33   32    5.5  
   37   34   33    5.3  
   38   35   34    5.0  
   39   36   35    5.2  
   40   37   36    7.0  
   41   37   35    5.0  
   42   38   37    8.2  
   43   39   38    4.9  
   44   40   39    4.0  
   45   41   40   12.5  
   46   42   41   12.4  
   47   43   42   13.1  
   48   44   43    9.0  
   49   45   44   17.0  
   50   46   45   17.0  
   51   47   46   15.5  
   52  355   47   15.5  
   53  356   47   19.5  
   54   48    8    4.0  
   55   49   48    4.2  
   56   50   49    4.1  
   57   51   50    4.6  
   58   52   51    4.7  
   59   53   52    2.3  
   60   54   53    4.9  
   61   55   54    6.5  
   62   56   55    4.6  
   63   57   56    2.8  
   64  169   55    2.5  
   65   56  169    3.1  
   66   57  169    2.0  
   67   58   57    1.7  
   68   59   58    6.2  
   69   59   57    6.5  
   70   60   59    4.2  
   71   61   60    5.5  
   72   62   61    4.3  
   73   63   62    4.6  
   74   64   63    4.1  
   75   65   64    4.1  
   76   66   65    5.5  
   77   67   66    6.1  
   78   68   67    4.0  
   79   69   68    3.9  
   80   70   69    5.3  
   81   71   70    3.9  
   82   72   71    2.6  
   83   73   72    3.2  
   84   74   73    3.5  
   85   75   74    3.5  
   86   77   75    4.3  
   88   78   77    5.3  
   89   79   78    4.5  
   90   80   79    4.5  
   91   81   80    4.5  
   92   82   81    4.8  
   94   84   82    3.7  
   95   85   84    4.3  
   96   86   85    4.1  
   97   88   86    2.7  
   98   87   86    2.9  
   99   88   87    3.7  
  100   89   87    3.1  
  101   89   88    4.0  
  102   90   89    4.0  
  103   91   89    2.2  
  104   91   90    3.9  
  105   92   91    3.1  
  106   93   92    3.8  
  107   94   93    3.9  
  108   94   93    5.5  
  109   95   94    2.5  
  110   95   96    3.5  
  111   97   95    4.1  
  112   96   95    3.1  
  113   97   96    2.3  
  114   97   98    4.7  
  115   99   97    3.4  
  116   99   98    4.2  
  117  102   99    8.5  
  118   99  100   12.0  
  119  101  100   12.6  
  120  102  101    6.5  
  121  232  102    5.2  
  122  103  232    6.8  
  123  103  101    7.5  
  124   38  103    7.5  
  125  104   52    4.7  
  126  105  104    8.2  
  127  106  105    5.3  
  128  107  106    8.6  
  129  108  107    6.1  
  130  109  108    7.2  
  131  110  109    5.5  
  132  111  110    5.3  
  133  112  111    7.6  
  134  113  112    7.6  
  135  114  113    3.9  
  136  115  114    3.6  
  137  116  115    3.6  
  138  117  116    6.1  
  139  118  117    3.5  
  140  120  118    5.3  
  141  119  118    3.3  
  142  120  119    5.5  
  143  121  120    3.6  
  144  122  121    3.0  
  145  121  123    4.6  
  146  123  122    3.3  
  147  124  123    4.4  
  148  124  122    5.1  
  149  125  124    4.5  
  150  126  125    5.6  
  151  127  126    5.4  
  152  128  127    4.6  
  153  129  128    4.1  
  154  130  129    3.1  
  155  131  130    3.0  
  156  132  130    3.9  
  157  132  131    3.7  
  158  132  131    3.0  
  159  133  132    5.3  
  160   31  133    8.1  
  161  134  133   10.6  
  162   34  134    5.6  
  163   35  134    5.6  
  164  135  144    4.0  
  165  136  135    4.2  
  166  137  136    3.4  
  167  130  137    4.0  
  168  130  136    5.5  
  169  138   16    8.0  
  170  139  138    6.8  
  171   21  139    5.3  
  172   26  140    4.9  
  173  140  141    5.4  
  174  141  142    4.7  
  175  142  143    5.3  
  176  143  144    4.2  
  177  144  145    4.3  
  178  145  124    6.5  
  179  145  125    4.0  
  180  147  146    9.2  
  181  148  147    6.1  
  182  142  148    4.3  
  183   58  149    4.3  
  184  149  150    6.5  
  185  152  151    4.6  
  186  153  152    4.6  
  187  154  153    3.2  
  188  155  154    3.2  
  189  156  155    3.2  
  190  157  156    3.8  
  191  158  157    3.8  
  192  159  158    3.2  
  193  160  159    3.2  
  194  149  160    2.9  
  196  163  162    9.4  
  197  164  163    7.9  
  198  165  164    7.8  
  199   54  165    7.0  
  201  167  166   10.5  
  202  168  167    6.6  
  203  169  168    6.1  
  204  171  170    6.8  
  205  171   56    4.6  
  206  172  171    6.1  
  207  173  172    2.7  
  208  174  173    4.3  
  209  175  174    3.4  
  210  176  175    3.8  
  211  177  176    4.3  
  212  178  177    6.8  
  213   71  178    5.5  
  214   70  179    4.5  
  216  179  181    8.0  
  217  182   72    5.5  
  218  183  182    4.1  
  219  184  183    2.4  
  220  185  184    3.2  
  221  185  183    2.3  
  222  186  185    3.2  
  223  187  186    3.0  
  224  187  185    2.7  
  225  192  187    2.5  
  226  188  113    3.8  
  227  189  188    5.1  
  228  190  189    3.9  
  229  191  190    3.5  
  230  192  191    5.7  
  231   75  192    4.3  
  233  194  117    4.6  
  234  195  194    4.7  
  235   82  195    4.2  
  236  196   82    3.9  
  237  197  196    4.5  
  238  198  197    5.5  
  239  199  198    4.1  
  240  200  199    4.0  
  241  201  200    5.3  
  242  202  201    4.6  
  243  203  202    5.0  
  244   93  203    5.6  
  245  203  204    4.9  
  246  204  205    5.2  
  247  205  206    5.4  
  248  207  129    3.9  
  249  208  207    7.1  
  250   98  208    7.0  
  251  100  208    3.0  
  252  210  209    4.3  
  253  211  210    5.2  
  254  212  211    4.3  
  255   75  212    4.3  
  257   77  212    3.2  
  258  213  121    4.5  
  259   86  213    3.6  
  261  215  205    7.3  
  262  217  215    6.5  
  263  218  215    4.5  
  264  216  102    8.3  
  265  217  216    3.8  
  266  218  217    4.7  
  267  218  217    4.2  
  268  219  216    6.0  
  269  220  219   14.8  
  270  226  220    6.3  
  271  221  222   11.8  
  272  220  221   12.0  
  273  222  218    4.6  
  274  223  222   12.5  
  275   45  223   17.0  
  276  224  103    7.1  
  277  225  224   10.2  
  278  226  225    7.0  
  279   44  226    9.8  
  280  226   42   12.4  
  281  362  228    8.0  
  307   41  239    8.0  
  308  239  240   18.5  
  309  352  240    9.4  
  310  240   43   11.4  
  311  242  241   17.5  
  312   24  241   10.8  
  313  243  242   13.8  
  314  244  243    9.5  
  315   30  244    7.4  
  316   32  244    3.6  
  317  242  246   15.8  
  318  243  247    5.4  
  319   33  245    9.4  
  320  247  246   14.8  
  321  247  248    7.4  
  322  248  250    7.4  
  323  249  268    6.6  
  324  250  249    6.6  
  325  245  250    9.8  
  326  251  245    7.9  
  327  252  251    8.4  
  328   39  252    8.4  
  329  254  253    4.5  
  330  255  254    4.5  
  331  256  255    2.5  
  332  280  256    6.7  
  333  260  256    3.5  
  334  258  257   11.0  
  335  259  258    6.2  
  336  260  259    6.2  
  337  261  260    8.4  
  338  262  261    8.4  
  339  263  262    6.5  
  340  264  263    6.5  
  341  265  264    6.9  
  342  266  265    6.9  
  343  267  266    6.0  
  344  268  267    6.0  
  345  269  268    9.2  
  346  270  269    9.0  
  347  271  270    9.0  
  348  272  271    9.5  
  349   40  272    9.5  
  350  275  274   11.2  
  351  262  275   10.2  
  352  277  276    9.4  
  353  264  277    8.8  
  354  279  278   11.1  
  355  266  279   12.9  
  356  280  260    4.4  
  357  281  280    4.1  
  358  282  281    4.1  
  359  283  282    6.2  
  360  284  283    6.2  
  361  285  284    8.0  
  362  286  285    8.0  
  363  287  286    6.5  
  364  271  287    6.5  
  365  255  342    4.2  
  366  288  343    6.0  
  367  289  288    5.2  
  368  290  289    5.2  
  369  291  290    7.8  
  370  292  291    7.8  
  371  293  292    7.9  
  372  294  293    7.9  
  373  295  294    8.5  
  374  271  295    8.5  
  375  297  296   14.0  
  376  298  297   12.0  
  377  299  298   11.1  
  378  300  299    9.8  
  379  300  339    3.3  
  380  301  300    8.7  
  381  302  301   10.6  
  382  304  302   12.6  
  383  303  340   12.7  
  384  304  303   10.7  
  385  305  304   10.0  
  386  306  305   14.4  
  387  350  306   14.5  
  388  307  302   11.6  
  389  308  307    9.0  
  390  316  308   18.6  
  391  310  309   20.2  
  392  311  310   24.6  
  393  312  311   16.0  
  394  313  312   20.7  
  395  314  313   16.3  
  396  315  314   23.5  
  397  316  315   15.3  
  398  350  316   20.8  
  399  318  317   17.1  
  400  323  318    6.3  
  401  321  319   25.7  
  402  321  320   14.6  
  403  322  321    6.2  
  404  323  322    2.6  
  405  316  323    4.0  
  406  324  273    8.9  
  407  325  324    7.7  
  408  326  325    7.5  
  409  322  326   14.1  
  410  331  330   13.9  
  411  332  331   18.3  
  412  333  332   13.5  
  413  334  333   15.0  
  414  335  334   17.5  
  415  336  335   12.6  
  416  337  336   17.1  
  417  338  337   13.3  
  418  339  338   16.0  
  419  340  339    8.6  
  420  341  340   14.8  
  421  342  341   13.8  
  422  343  342    3.0  
  423  344  343   12.0  
  424  345  344    7.2  
  425  346  345    7.2  
  426  347  346    9.5  
  427  348  347   10.9  
  428  349  348    9.3  
  429  350  349    9.3  
  430  351  350   14.6  
  431  352  351   13.6  
  432  353  352   19.5  
  433  353  352   14.7  
  434  354  353   17.9  
  435  355  354   14.1  
  436  356  355   14.2  
  437  357  356   20.2  
  438  358  362   12.1  
  439  359  358   12.7  
  440  360  359   14.8  
  441  361  360    4.0  
  442  356  328   10.7  
  443  362  357   10.4  
  444  329  357   12.3  
  445  366  329   15.0  
  446  238  329    3.5  
  447  363  238   10.9  
  448  365  363    8.2  
  449  365  364    5.0  
  450  238  227   10.5  
  451  367  365   15.8  
  452  359  358   12.6  
  453  367  366   15.8  
  454  360  367   12.2  
  458  371  368    7.6  
  459  372  371    5.3  
  460  373  372   12.2  
  461  374  373   10.5  
  462  375  374    9.0  
  463  376  375    7.4  
  464  377  445   10.9  
  465  378  377    6.0  
  466  364  378    4.0  
  467  380  379   13.5  
  468  381  380   14.8  
  469  382  381    9.7  
  470  383  443   11.4  
  471  383  384   14.0  
  472  384  385   14.0  
  473  385  367    1.7  
  474  443  382    4.3  
  475  388  387    6.3  
  476  390  389    9.2  
  477  388  390    4.0  
  478  375  388    4.0  
  479  390  391   10.7  
  480  382  391   13.2  
  481  391  381    2.1  
  482  377  383    1.5  
  483  371  392   13.5  
  484  372  393   15.0  
  485  373  394    6.0  
  486  371  395   28.1  
  488  398  397    7.5  
  489  398  373    3.4  
  490  399  398    8.0  
  491  425  399   10.0  
  492  402  401    8.0  
  494  374  402    5.5  
  495  402  398    6.5  
  497  409  403    7.7  
  498  406  409    9.7  
  499  421  406    6.0  
  502  409  408   14.3  
  503  410  409    9.4  
  505  406  410    3.1  
  506  406  412    6.0  
  509  421  413   11.6  
  511  418  355   11.9  
  513  420  418   30.6  
  515  421  420   12.7  
  516  422  421    9.5  
  517  425  422   14.5  
  522  428  425   24.0  
  523  364  428   10.8  
  527  425  327   15.7  
  528  428  376    3.1  
  530  434  436   15.0  
  531  433  434   15.0  
  532  418  433   12.2  
  535  440  438    7.5  
  537  440  384    3.5  
  538  441  440    4.0  
  539  441  378    1.5  
  542  365  441    4.2  
  543  445  376    4.2  
  544  445  386    5.2  
  549  257  446    2.5  
  550  257  447    2.5  
  551  449  257   11.5  
  552  449  448    9.8  
  553  253  449   10.0  
  555  452  451    5.5  
  556  453  452    7.8  
  557  454  453    8.0  
  558  253  454    3.0  
  559  454  455    5.0  
  560  457  456    6.0  
  561   18  457    6.0  
END CHANNEL_LIST
RESERVOIR_LIST
ID NODES
601 210,73,179
602 128,137,136,127
603 220,226,225
604 219,224,232
605 45,223,46
606 46,47,354
607 357,328,227
END RESERVOIR_LIST
