minflow
C_arc   month   minflow
200.1     1       800
200.1     2       800
200.1     3       800
200.1     4       800
200.1     5       800
200.1     6       800
200.1     7       700
200.1     8       700
200.1     9       700
200.1     10      700
200.1     11      700
200.1     12      773.3333333
