riovista
month           wyt_SAC                         river_q         
1               1                               4000                                                                                                                                                                            
2               1                               4500                                                                                                                                                                            
3               1                               4500                                                                                                                                                                            
4               1                               0                                                                                                                                                                                               
5               1                               0                                                                                                                                                                                               
6               1                               0                                                                                                                                                                                               
7               1                               0                                                                                                                                                                                               
8               1                               0                                                                                                                                                                                               
9               1                               0                                                                                                                                                                                               
10              1                               0                                                                                                                                                                                               
11              1                               0                                                                                                                                                                                               
12              1                               3000                                                                                                                                                                            
1               2                               4000                                            
2               2                               4500
3               2                               4500
4               2                               0               
5               2                               0               
6               2                               0               
7               2                               0               
8               2                               0               
9               2                               0               
10              2                               0               
11              2                               0               
12              2                               3000
1               3                               4000
2               3                               4500
3               3                               4500
4               3                               0               
5               3                               0               
6               3                               0               
7               3                               0               
8               3                               0               
9               3                               0               
10              3                               0               
11              3                               0               
12              3                               3000
1               4                               4000
2               4                               4500
3               4                               4500
4               4                               0               
5               4                               0               
6               4                               0               
7               4                               0               
8               4                               0               
9               4                               0               
10              4                               0               
11              4                               0               
12              4                               3000
1               5                               3000
2               5                               3500
3               5                               3500
4               5                               0
5               5                               0
6               5                               0
7               5                               0
8               5                               0
9               5                               0
10              5                               0
11              5                               0
12              5                               3000
