 ,,Threshold Value ,Threshold Label,,
1,CalLite,S_TRNTYLEVEL1DV/STORAGE-LEVEL,Dead Pool,,
1,CalSim2,S1LEVEL1DV/STORAGE-LEVEL,,,
1,CalSim3,NOT A DV OUTPUT,,,
2,CalLite,S_TRNTYLEVEL5DV/STORAGE-LEVEL,Capacity,,
2,CalSim2,S1LEVEL5DV/STORAGE-LEVEL,,,
2,CalSim3,NOT A DV OUTPUT,,,
3,CalLite,S_TRNTYLEVEL3DV/STORAGE-LEVEL,Rule Curve,,
3,CalSim2,S1LEVEL3DV/STORAGE-LEVEL,,,
3,CalSim3,S_TRNTYLEVEL3DV/STORAGE-LEVEL,,,
4,CalLite,S_TRNTYLEVEL4DV/STORAGE-LEVEL,Flood Level,,
4,CalSim2,S1LEVEL4DV/STORAGE-LEVEL,,,
4,CalSim3,S_TRNTYLEVEL4DV/STORAGE-LEVEL,,,
5,CalLite,F_TRNTY/FLOW-SPILL-NON_RECOV,Spill,,
5,CalSim2,F1/FLOW-SPILL-NON-RECOV,,,
5,CalSim3,C_TRNTY_FLOOD/FLOW-SPILL-NON_RECOV,,,
6,CalLite,D_CLEARTU_IMPORT/FLOW-TUNNEL,Capacity,,
6,CalSim2,D100_IMPORT/FLOW-DELIVERY,,,
6,CalSim3,D_LWSTN_CCT011/DIVERSION,,,
7,CalLite,trinity_importdv/UNDEFINED,Import Requirement,,
7,CalSim2,TRIN_IMPDV/UNDEFINED,,,
7,CalSim3,TRIN_IMPDV/UNDEFINED,,,
8,CalLite,S_SHSTALEVEL4DV/STORAGE-LEVEL,Dead Pool,,
8,CalSim2,S4LEVEL1DV/STORAGE-LEVEL,,,
8,CalSim3,NOT A DV OUTPUT,,,
9,CalLite,S_SHSTALEVEL6DV/STORAGE-LEVEL,Capacity,,
9,CalSim2,S4LEVEL6DV/STORAGE-LEVEL,,,
9,CalSim3,NOT A DV OUTPUT,,,
10,CalLite,S_SHSTALEVEL3DV/STORAGE-LEVEL,Rule Curve,,
10,CalSim2,S4LEVEL3DV/STORAGE-LEVEL,,,
10,CalSim3,S_SHSTALEVEL3DV/STORAGE,,,
11,CalLite,S_SHSTALEVEL5DV/STORAGE-LEVEL,Flood Level,,
11,CalSim2,S4LEVEL5DV/STORAGE-LEVEL,,,
11,CalSim3,S_SHSTALEVEL5DV/STORAGE-LEVEL,,,
12,CalLite,F_SHSTA/FLOW-SPILL-NON_RECOV,Spill,,
12,CalSim2,F4/FLOW-SPILL-NON-RECOV,,,
12,CalSim3,C_SHSTA_FLOOD/SPILL,,,
13,CalLite,S_OROVLLEVEL1DV/STORAGE-LEVEL,Dead Pool,,
13,CalSim2,S6LEVEL1DV/STORAGE-LEVEL,,,
13,CalSim3,NOT A DV OUTPUT,,,
14,CalLite,S_OROVLLEVEL6DV/STORAGE-LEVEL,Capacity,,
14,CalSim2,S6LEVEL6DV/STORAGE-LEVEL,,,
14,CalSim3,NOT A DV OUTPUT,,,
15,CalLite,S_OROVLLEVEL3DV/STORAGE-LEVEL,Rule Curve,,
15,CalSim2,S6LEVEL3DV/STORAGE-LEVEL,,,
15,CalSim3,S_OROVLLEVEL3DV/STORAGE,,,
16,CalLite,S_OROVLLEVEL5DV/STORAGE-LEVEL,Flood Level,,
16,CalSim2,S6LEVEL5DV/STORAGE-LEVEL,,,
16,CalSim3,S_OROVLLEVEL5DV/STORAGE-LEVEL,,,
17,CalLite,F_OROVL/FLOW-SPILL-NON_RECOV,Spill,,
17,CalSim2,F6/FLOW-SPILL-NON-RECOV,,,
17,CalSim3,C_OROVL_FLOOD/SPILL,,,
18,CalLite,S_FOLSMLEVEL1DV/STORAGE-LEVEL,Dead Pool,,
18,CalSim2,S8LEVEL1DV/STORAGE-LEVEL,,,
18,CalSim3,NOT A DV OUTPUT,,,
19,CalLite,S_FOLSMLEVEL6DV/STORAGE-LEVEL,Capacity,,
19,CalSim2,S8LEVEL6DV/STORAGE-LEVEL,,,
19,CalSim3,NOT A DV OUTPUT,,,
20,CalLite,S_FOLSMLEVEL3DV/STORAGE-LEVEL,Rule Curve,,
20,CalSim2,S8LEVEL3DV/STORAGE-LEVEL,,,
20,CalSim3,S_FOLSMLEVEL3DV/STORAGE,,,
21,CalLite,S_FOLSMLEVEL5DV/STORAGE-LEVEL,Flood Level,,
21,CalSim2,S8LEVEL5DV/STORAGE-LEVEL,,,
21,CalSim3,S_FOLSMLEVEL5DV/STORAGE-LEVEL,,,
22,CalLite,F_FOLSM/FLOW-SPILL-NON-RECOV,Spill,,
22,CalSim2,F8/FLOW-SPILL-NON-RECOV,,,
22,CalSim3,C_FOLSM_FLOOD/SPILL,,,
23,CalLite,C_THERM_MIN/CHANNEL-MINFLOW,Minimum Instream Flow,,
23,CalSim2,C203MIN/CHANNEL-MINFLOW,,,
23,CalSim3,MF_FTR059 NOT A DV OUTPUT,,,
24,CalLite,C_Nimbus_FMP/FLOW,Minimum Instream Flow,,
24,CalSim2,C9_FMP/FLOW,,,
24,CalSim3,C_NTOMA_FMP/FLOW,,,
25,CalLite,S_SLCVPLEVEL1DV/STORAGE-LEVEL,Dead Pool,,
25,CalSim2,S11LEVEL1DV/STORAGE-LEVEL,,,
25,CalSim3,NOT A DV OUTPUT,,,
26,CalLite,S_SLCVPLEVEL5DV/STORAGE-LEVEL,Capacity,,
26,CalSim2,S11LEVEL5DV/STORAGE-LEVEL,,,
26,CalSim3,NOT A DV OUTPUT,,,
27,CalLite,CVPRULECV/RULECURVE,Rule Curve,,
27,CalSim2,CVPRULECV/RULECURVE,,,
27,CalSim3,CVPRULECV/RULECURVE,,,
28,CalLite,F_SLCVP/FLOW-SPILL-NON-RECOV,Spill,,
28,CalSim2,F11/FLOW-SPILL-NON-RECOV,,,
28,CalSim3,C_SLUIS_CVP_FLOOD/SPILL,,,
29,CalLite,S_SLSWPLEVEL1DV/STORAGE-LEVEL,Dead Pool,,
29,CalSim2,S12LEVEL1DV/STORAGE-LEVEL,,,
29,CalSim3,NOT A DV OUTPUT,,,
30,CalLite,S_SLSWPLEVEL5DV/STORAGE-LEVEL,Capacity,,
30,CalSim2,S12LEVEL5DV/STORAGE-LEVEL,,,
30,CalSim3,NOT A DV OUTPUT,,,
31,CalLite,SWPRULECV/RULECURVE,Rule Curve,,
31,CalSim2,SWPRULECV/RULECURVE,,,
31,CalSim3,SWPRULECV/RULECURVE,,,
32,CalLite,F_SLSWP/FLOW-SPILL-NON-RECOV,Spill,,
32,CalSim2,F12/FLOW-SPILL-NON-RECOV,,,
32,CalSim3,C_SLUIS_SWP_FLOOD/SPILL,,,
33,CalLite,ZERO_THRSHLD_/DTS-INPUT,Lower Bound,,
33,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
33,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
34,CalLite,NOT USED,Capacity,,
34,CalSim2,6000,,,
34,CalSim3,NOT USED,,,
35,CalLite,TRINITY_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
35,CalSim2,TRINITY_FLOW_MIN_/DTS-NODMIF-INPUT,,,
35,CalSim3,TRINITY_FLOW_MIN_/DTS-NODMIF-INPUT,,,
36,CalLite,CLR_CRK_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
36,CalSim2,CLR_CRK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
