 ,,Threshold Value ,Threshold Label,,
36,CalSim3,CLR_CRK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
37,CalLite,CLR_CRK_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
37,CalSim2,CLR_CRK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
37,CalSim3,CLR_CRK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
38,CalLite,SAC_KESWICK_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
38,CalSim2,SAC_KESWICK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
38,CalSim3,SAC_KESWICK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
39,CalLite,SAC_KESWICK_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
39,CalSim2,SAC_KESWICK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
39,CalSim3,SAC_KESWICK_FLOW_MIN_/DTS-NODMIF-INPUT,,,
40,CalLite,SAC_REDBLUFF_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
40,CalSim2,SAC_REDBLUFF_FLOW_MIN_/DTS-NODMIF-INPUT,,,
40,CalSim3,SAC_REDBLUFF_FLOW_MIN_/DTS-NODMIF-INPUT,,,
41,CalLite,NOT REPRESENTED IN CL,Minimum Instream Flow,,
41,CalSim2,SAC_HAMILTONCITY_FLOW_MIN_/DTS-NODMIF-INPUT,,,
41,CalSim3,SAC_HAMILTONCITY_FLOW_MIN_/DTS-NODMIF-INPUT,,,
42,CalLite,SAC_WILKINSSLOUGH_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
42,CalSim2,SAC_WILKINSSLOUGH_FLOW_MIN_/DTS-NODMIF-INPUT,,,
42,CalSim3,SAC_WILKINSSLOUGH_FLOW_MIN_/DTS-NODMIF-INPUT,,,
43,CalLite,SAC_FREEPORT_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,"	"
43,CalSim2,SAC_FREEPORT_FLOW_MIN_/DTS-NODMIF-INPUT,,,
43,CalSim3,SAC_FREEPORT_FLOW_MIN_/DTS-NODMIF-INPUT,,,
44,CalLite,NOT REPRESENTED IN CL,Minimum Instream Flow,,
44,CalSim2,FEATHER_LOWFLOW_THERMALITO_FLOW_MIN_/DTS-NODMIF-INPUT,,,
44,CalSim3,FEATHER_LOWFLOW_THERMALITO_FLOW_MIN_/DTS-NODMIF-INPUT,,,
45,CalLite,FEATHER_BLW_THERMALITO_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
45,CalSim2,FEATHER_BLW_THERMALITO_FLOW_MIN_/DTS-NODMIF-INPUT,,,
45,CalSim3,FEATHER_BLW_THERMALITO_FLOW_MIN_/DTS-NODMIF-INPUT,,,
46,CalLite,FEATHER_VERONA_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
46,CalSim2,FEATHER_VERONA_FLOW_MIN_/DTS-NODMIF-INPUT,,,
46,CalSim3,FEATHER_VERONA_FLOW_MIN_/DTS-NODMIF-INPUT,,,
47,CalLite,AMERICAN_NIMBUS_FLOW_MIN_/DTS-NODMIF-INPUT,Minimum Instream Flow,,
47,CalSim2,AMERICAN_NIMBUS_FLOW_MIN_/DTS-NODMIF-INPUT,,,
47,CalSim3,AMERICAN_NIMBUS_FLOW_MIN_/DTS-NODMIF-INPUT,,,
48,CalLite,AMERICAN_HSTREET_FLOW_MIN_/DTS-NODMIF-VALUE,Minimum Instream Flow,,
48,CalSim2,AMERICAN_HSTREET_FLOW_MIN_/DTS-NODMIF-VALUE,,,
48,CalSim3,AMERICAN_HSTREET_FLOW_MIN_/DTS-NODMIF-VALUE,,,
49,CalLite,C_HOOD_MIF/FLOW-MIN-INSTREAM,Minimum Instream Flow,,
49,CalSim2,C400_MIF/FLOW-MIN-INSTREAM,,,
49,CalSim3,C_SAC041_MIF/FLOW-MIN-INSTREAM,,,
50,CalLite,RIO_REQ LOOKUP VALUES NOT A DTS OUTPUT. RIO_REQ_/DTS-DELTA-CONTROL-VALUE,Minimum Instream Flow,,
50,CalSim2,RIO_REQ LOOKUP VALUES NOT A DTS OUTPUT. RIO_REQ_/DTS-DELTA-CONTROL-VALUE,,,
50,CalSim3,RIO_REQ LOOKUP VALUES NOT A DTS OUTPUT. RIO_REQ_/DTS-DELTA-CONTROL-VALUE,,,
51,CalLite,C408_LBOUND/FLOW-LBOUND,Lower Bound,,
51,CalSim2,C408_LBOUND/FLOW-LBOUND,,,
51,CalSim3,C_OMR014_LBOUND/FLOW-LBOUND,,,
52,CalLite,SUTTER_SPLL_THRSHLD_/DTS-WEIR-OP-VALUE,Spill,,
52,CalSim2,SUTTER_SPLL_THRSHLD_/DTS-WEIR-OP-VALUE,,,
52,CalSim3,SUTTER_SPLL_THRSHLD_/DTS-WEIR-OP-VALUE,,,
53,CalLite,YOLO_SPLL_THRSHLD_/DTS-WEIR-OP-VALUE,Spill,,
53,CalSim2,YOLO_SPLL_THRSHLD_/DTS-WEIR-OP-VALUE,,,
53,CalSim3,YOLO_SPLL_THRSHLD_/DTS-WEIR-OP-VALUE,,,
54,CalLite,ZERO_THRSHLD_/DTS-INPUT,Spill,,
54,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
54,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
55,CalLite,ZERO_THRSHLD_/DTS-INPUT,Spill,,
55,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
55,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
56,CalLite,ZERO_THRSHLD_/DTS-INPUT,Spill,,
56,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
56,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
57,CalLite,ZERO_THRSHLD_/DTS-INPUT,Spill,,
57,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
57,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
58,CalLite,ZERO_THRSHLD_/DTS-INPUT,Spill,,
58,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
58,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
59,CalLite,ZERO_THRSHLD_/DTS-INPUT,Spill,,
59,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
59,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
60,CalLite,NOT AVAILABLE,Minimum Pumping,,
60,CalSim2,mingw_58/GW-PUMPING-MIN,,,
60,CalSim3,IN REVIEW,,,
61,CalLite,NOT AVAILABLE,Excessive Pumping,,
61,CalSim2,GW_PMP_DSA58_MIN_/DTS-GW-VALUE,,,
61,CalSim3,IN REVIEW,,,
62,CalLite,NOT AVAILABLE,Minimum Pumping,,
62,CalSim2,mingw_65/GW-PUMPING-MIN,,,
62,CalSim3,IN REVIEW,,,
63,CalLite,NOT AVAILABLE,Excessive Pumping,,
63,CalSim2,GW_PMP_DSA65_MIN_/DTS-GW-VALUE,,,
63,CalSim3,IN REVIEW,,,
64,CalLite,mingw_69/GW-PUMPING-MIN,Minimum Pumping,,
64,CalSim2,mingw_69/GW-PUMPING-MIN,,,
64,CalSim3,IN REVIEW,,,
65,CalLite,GW_PMP_DSA69_MIN_/DTS-GW-VALUE,Excessive Pumping,,
65,CalSim2,GW_PMP_DSA69_MIN_/DTS-GW-VALUE,,,
65,CalSim3,IN REVIEW,,,
66,CalLite,NOT AVAILABLE,Minimum Pumping,,
66,CalSim2,mingw_70/GW-PUMPING-MIN,,,
66,CalSim3,IN REVIEW,,,
67,CalLite,NOT AVAILABLE,Excessive Pumping,,
67,CalSim2,GW_PMP_DSA70_MIN_/DTS-GW-VALUE,,,
67,CalSim3,NOT AVAILABLE,,,
68,CalLite,JONESALLOWOUT/EXPORT-CTRL-JONES,Capacity,,
68,CalSim2,JONESALLOWOUT/EXPORT-CTRL-JONES,,,
68,CalSim3,NOT A DV OUTPUT,,,
69,CalLite,NOT REPRESENTED IN CL,Health and Safety,,
69,CalSim2,TRACYMINPUMPDV/HEALTH-SAFETY,,,
69,CalSim3,TRACYMINPUMPDV/HEALTH-SAFETY,,,
70,CalLite,EIEXPCTRL/EXPORT-CTRL-EI,EI,,
70,CalSim2,EIEXPCTRL/EXPORT-CTRL-EI,,,
70,CalSim3,EIEXPCTRL/EXPORT-CTRL-EI,,,
71,CalLite,APRMAYJONESCTRL/EXPORT-CTRL-APRMAY,Vernalis 1:1,,
71,CalSim2,APRMAYTRACYCTRL/EXPORT-CTRL-APRMAY,,,
71,CalSim3,APRMAYTRACYCTRL/EXPORT-CTRL-APRMAY,,,
72,CalLite,MAXEXP_RPA_CVPDV/EXPORT-LIMIT,NMFS,,
72,CalSim2,MAXEXP_RPA_CVPDV/EXPORT-LIMIT,,,
72,CalSim3,MAXEXP_RPA_CVPDV/EXPORT-LIMIT,,,
73,CalLite,,OMR,,
73,CalSim2,,,,
73,CalSim3,,,,
74,CalLite,SOD_EXP_MAXCAP_/DTS-DELTA-EXP-CTRL-INPUT,Capacity,,
74,CalSim2,SOD_EXP_MAXCAP_/DTS-DELTA-EXP-CTRL-INPUT,,,
74,CalSim3,SOD_EXP_MAXCAP_/DTS-DELTA-EXP-CTRL-INPUT,,,
75,CalLite,NOT A DV OUTPUT,Health and Safety,,
75,CalSim2,BANKSMINPUMPDV/HEALTH-SAFETY,,,
75,CalSim3,BANKSMINPUMPDV/HEALTH-SAFETY,,,
76,CalLite,MAXEXP_RPA_SWPDV/EXPORT-LIMIT,EI,,
76,CalSim2,MAXEXP_RPA_SWPDV/EXPORT-LIMIT,,,
76,CalSim3,MAXEXP_RPA_SWPDV/EXPORT-LIMIT,,,
77,CalLite,APRMAYBANKSCTRL/EXPORT-CTRL-APRMAY,Vernalis 1:1,,
77,CalSim2,APRMAYBANKSCTRL/EXPORT-CTRL-APRMAY,,,
77,CalSim3,APRMAYBANKSCTRL/EXPORT-CTRL-APRMAY,,,
78,CalLite,MAXEXP_RPA_SWPDV/EXPORT-LIMIT,NMFS,,
78,CalSim2,MAXEXP_RPA_SWPDV/EXPORT-LIMIT,,,
78,CalSim3,MAXEXP_RPA_SWPDV/EXPORT-LIMIT,,,
79,CalLite,,OMR,,
79,CalSim2,,,,
79,CalSim3,,,,
80,CalLite,TO BE ADDED. SOD_HS_LIMIT_/DTS-DELTA-CONTROL-VALUE,Health and Safety,,
80,CalSim2,TO BE ADDED. SOD_HS_LIMIT_/DTS-DELTA-CONTROL-VALUE,,,
80,CalSim3,TO BE ADDED. SOD_HS_LIMIT_/DTS-DELTA-CONTROL-VALUE,,,
81,CalLite,EIEXPCTRL/EXPORT-CTRL-EI,EI,,
81,CalSim2,EIEXPCTRL/EXPORT-CTRL-EI,,,
81,CalSim3,EIEXPCTRL/EXPORT-CTRL-EI,,,
82,CalLite,APRMAYEXPCTRL/EXPORT-CTRL-APRMAY,Vernalis 1:1,,
82,CalSim2,APRMAYEXPCTRL/EXPORT-CTRL-APRMAY,,,
82,CalSim3,APRMAYEXPCTRL/EXPORT-CTRL-APRMAY,,,
83,CalLite,MAXEXP_RPADV/EXPORT-LIMIT,NMFS,,
83,CalSim2,MAXEXP_RPADV/EXPORT-LIMIT,,,
83,CalSim3,MAXEXP_RPADV/EXPORT-LIMIT,,,
84,CalLite,EXPORT_DEC_/TEMP,OMR,,
84,CalSim2,EXPORT_DEC_/TEMP,,,
84,CalSim3,EXPORT_DEC_/TEMP,,,
85,CalLite,NMFS_MaxExpdv/NMFS,SJRIE,,
85,CalSim2,NMFS_MaxExpdv/NMFS,,,
85,CalSim3,NMFS_MaxExpdv/NMFS,,,
86,CalLite,RIOVISTA_MIF_/DTS-RESOP-INPUT,Minimum Instream Flow,,
86,CalSim2,RIOVISTA_MIF_/DTS-RESOP-INPUT,,,
86,CalSim3,RIOVISTA_MIF_/DTS-RESOP-INPUT,,,
87,CalLite,qwest_reqdv/FLOW-REQ-QWEST,Flow Split,,
87,CalSim2,TO BE ADDED. QWEST_STD_/DTS-RESOP-INPUT,,,
87,CalSim3,TO BE ADDED. QWEST_STD_/DTS-RESOP-INPUT,,,
88,CalLite,C408_LBOUND/FLOW-LBOUND,Low Bound,,
88,CalSim2,C408_LBOUND/FLOW-LBOUND,,,
88,CalSim3,C_OMR014_LBOUND/FLOW-LBOUND,,,
89,CalLite,NMFSdaysopentgdv/DCC-DAYS-OPEN,Gate Close/Open,,
89,CalSim2,NMFSdaysopentgdv/DCC-DAYS-OPEN,,,
89,CalSim3,NMFSdaysopentgdv/DCC-DAYS-OPEN,,,
90,CalLite,MRDO_ANN__/DTS-DELTA-CONTROL-VALUE,ANN,,
90,CalSim2,MRDO_ANN__/DTS-DELTA-CONTROL-VALUE,,,
90,CalSim3,MRDO_ANN__/DTS-DELTA-CONTROL-VALUE,,,
91,CalLite,JP_EC_STD/SALINITY,JP Salinity,,
91,CalSim2,JP_EC_STD/SALINITY,,,
91,CalSim3,JP_EC_STD/SALINITY,,,
92,CalLite,EM_EC_STD/SALINITY,EM Salinity,,
92,CalSim2,EM_EC_STD/SALINITY,,,
92,CalSim3,EM_EC_STD/SALINITY,,,
93,CalLite,RS_EC_STD/SALINITY,RS Salinity,,
93,CalSim2,RS_EC_STD/SALINITY,,,
93,CalSim3,RS_EC_STD/SALINITY,,,
94,CalLite,CO_EC_STD/SALINITY,CO Salinity,,
94,CalSim2,CO_EC_STD/SALINITY,,,
94,CalSim3,CO_EC_STD/SALINITY,,,
95,CalLite,MRDO_NDOI__/DTS-DELTA-CONTROL-VALUE,NDOI,,
95,CalSim2,MRDO_NDOI__/DTS-DELTA-CONTROL-VALUE,,,
95,CalSim3,MRDO_NDOI__/DTS-DELTA-CONTROL-VALUE,,,
96,CalLite,MRDO_SX2__/DTS-DELTA-CONTROL-VALUE,SX2,,
96,CalSim2,MRDO_SX2__/DTS-DELTA-CONTROL-VALUE,,,
96,CalSim3,MRDO_SX2__/DTS-DELTA-CONTROL-VALUE,,,
97,CalLite,MRDO_FX2__/DTS-DELTA-CONTROL-VALUE,FX2,,
97,CalSim2,MRDO_FX2__/DTS-DELTA-CONTROL-VALUE,,,
97,CalSim3,MRDO_FX2__/DTS-DELTA-CONTROL-VALUE,,,
98,CalLite,RIO_REQ LOOKUP VALUES NOT A DTS OUTPUT. RIO_REQ_/DTS-DELTA-CONTROL-VALUE,MIF,,
98,CalSim2,RIO_REQ LOOKUP VALUES NOT A DTS OUTPUT. RIO_REQ_/DTS-DELTA-CONTROL-VALUE,,,
98,CalSim3,RIO_REQ LOOKUP VALUES NOT A DTS OUTPUT. RIO_REQ_/DTS-DELTA-CONTROL-VALUE,,,
99,CalLite,CVP_Share_/DTS-COA-VALUE,Agreed CVP COA Share,,
99,CalSim2,CVP_Share_/DTS-COA-VALUE,,,
99,CalSim3,CVP_Share_/DTS-COA-VALUE,,,
100,CalLite,SWP_Share_/DTS-COA-VALUE,Agreed SWP COA Share,,
100,CalSim2,SWP_Share_/DTS-COA-VALUE,,,
100,CalSim3,SWP_Share_/DTS-COA-VALUE,,,
101,CalLite,SHORT_CVP_THRSHLD_/DTS-ALLOC-VALUE,Shortage,,
101,CalSim2,SHORT_CVP_THRSHLD_/DTS-ALLOC-VALUE,,,
101,CalSim3,SHORT_CVP_THRSHLD_/DTS-ALLOC-VALUE,,,
102,CalLite,ZERO_THRSHLD_/DTS-INPUT,CVP NOD Shortage,,
102,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
102,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
103,CalLite,ZERO_THRSHLD_/DTS-INPUT,CVP SOD Shortage,,
103,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
103,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
104,CalLite,ZERO_THRSHLD_/DTS-INPUT,SOD Shortage,,
104,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
104,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
105,CalLite,SHORT_SWP_THRSHLD_/DTS-ALLOC-VALUE,Shortage,,
105,CalSim2,SHORT_SWP_THRSHLD_/DTS-ALLOC-VALUE,,,
105,CalSim3,SHORT_SWP_THRSHLD_/DTS-ALLOC-VALUE,,,
106,CalLite,ZERO_THRSHLD_/DTS-INPUT,SWP NOD Shortage,,
106,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
106,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
107,CalLite,ZERO_THRSHLD_/DTS-INPUT,SWP NOD Shortage,,
107,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
107,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
108,CalLite,ZERO_THRSHLD_/DTS-INPUT,Mass Balance,,
108,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
108,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
109,CalLite,ZERO_THRSHLD_/DTS-INPUT,Mass Balance,,
109,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
109,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
110,CalLite,ZERO_THRSHLD_/DTS-INPUT,Mass Balance,,
110,CalSim2,ZERO_THRSHLD_/DTS-INPUT,,,
110,CalSim3,ZERO_THRSHLD_/DTS-INPUT,,,
