DTS ID,Module ID,Linked Variables,Section IDs,GUI Link,Threshold Link,Title
176,,,ST,N/A,N/A,COA Placeholder
177,,,ST,N/A,N/A,COA Placeholder
178,,,ST,N/A,N/A,COA Placeholder
179,,TOT_EXP_CVP_DTS/DTS-STATUS,ST,N/A,N/A,Placeholder
180,,TOT_EXP_SWP_DTS/DTS-STATUS,ST,N/A,N/A,Placeholder
181,,TOT_EXP_DTS/DTS-STATUS,ST,N/A,N/A,Placeholder
182,,UWFE_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
183,,UWFE_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
184,,SW_EXP_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
185,,SW_EXP_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
186,,SW_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
187,,SW_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
188,,SW_IBU_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
189,,SW_IBU_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
190,,Ratio_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
191,,Ratio_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
192,,SI_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
193,,SI_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
194,,UWFE_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
195,,UWFE_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
196,,CVP_SI_UWFE_DTS/DTS-STATUS,ST,N/A,N/A,CVP
197,,SWP_SI_UWFE_DTS/DTS-STATUS,ST,N/A,N/A,SWP
198,,CVP_TOT_STOR_UNSTOR_DTS/DTS-STATUS,ST,N/A,N/A,CVP
199,,SWP_TOT_STOR_UNSTOR_DTS/DTS-STATUS,ST,N/A,N/A,SWP
200,,DELTA_CNDTN,ST,N/A,N/A,
201,,UWFE_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
202,,UWFE_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
203,,IBU_CVP_DTS/DTS-STATUS,ST,N/A,N/A,CVP
204,,IBU_SWP_DTS/DTS-STATUS,ST,N/A,N/A,SWP
205,,,ST,N/A,N/A,
206,,BASIN_USE_SCRMNTO_CVP_AG,ST,N/A,N/A,CVP Ag Service Contracts
207,,BASIN_USE_SCRMNTO_CVP_MI,ST,N/A,N/A,CVP MI Service Contracts
208,,BASIN_USE_SCRMNTO_CVP_SC,ST,N/A,N/A,CVP Settlement Contracts
209,,BASIN_USE_SCRMNTO_NP_RF,ST,N/A,N/A,CVP Refuge Deliveries (inc. Gray Lodge%2C Butte Sirks%2C and Sutter NWR)
210,,BASIN_USE_SCRMNTO_NP_WR,ST,N/A,N/A,Non-Project/Water Right
211,,BASIN_USE_AMRCN_CVP_LS,ST,N/A,N/A,CVP Loss
212,,,ST,N/A,N/A,
213,,EXPORT_SWP_SOD,ST,N/A,N/A,SWP Table A MI
214,,,ST,N/A,N/A,FRSA Contractors (Includes Winter Water)
215,,BASIN_USE_FTHR_DCMP,ST,N/A,N/A,\t Winter Water
