X	Feature Profile 1
0	29.37
9.999	29.191
19.998	29.011
29.997	28.75
39.995	28.347
49.994	28.062
59.993	27.813
69.992	27.561
79.991	27.31
89.99	27.072
99.988	26.69
109.987	26.327
119.986	26.204
129.985	26.018
139.984	25.948
149.983	25.875
159.981	25.839
169.98	25.655
179.979	23.077
189.978	17.634
199.977	14.488
209.976	13.442
219.975	12.866
229.973	12.294
239.972	11.617
249.971	10.721
259.97	10.048
269.969	9.504
279.968	8.913
289.966	8.334
299.965	7.622
309.964	6.994
319.963	6.46
329.962	6.082
339.961	5.689
349.96	5.569
359.958	5.23
369.957	4.978
379.956	4.723
389.955	4.307
399.954	3.855
409.953	3.328
419.951	3.123
429.95	3.233
439.949	3.207
449.948	2.461
459.947	0.63
469.946	-0.792
479.944	-2.54
489.943	-4.209
499.942	-5.769
509.941	-7.491
519.94	-9.115
529.939	-10.484
539.938	-11.532
549.936	-12.287
559.935	-12.92
569.934	-13.808
579.933	-14.74
589.932	-15.645
599.931	-16.304
609.929	-17.177
619.928	-17.406
629.927	-17.716
639.926	-17.68
649.925	-17.407
659.924	-17.686
669.923	-17.496
679.921	-18.052
689.92	-18.791
699.919	-19.257
709.918	-19.497
719.917	-19.766
729.916	-20.077
739.914	-20.337
749.913	-20.528
759.912	-20.614
769.911	-20.624
779.91	-20.743
789.909	-20.83
799.907	-20.665
809.906	-20.531
819.905	-21.253
829.904	-22.507
839.903	-23.489
849.902	-23.923
859.901	-24.14
869.899	-24.285
879.898	-24.489
889.897	-24.546
899.896	-24.565
909.895	-24.394
919.894	-24.072
929.892	-23.592
939.891	-22.919
949.89	-22.154
959.889	-21.307
969.888	-20.609
979.887	-20.421
989.885	-20.444
999.884	-20.378
1,009.883	-20.092
1,019.882	-19.4
1,029.881	-18.481
1,039.88	-17.727
1,049.879	-17.106
1,059.877	-16.598
1,069.876	-16.171
1,079.875	-15.755
1,089.874	-15.219
1,099.873	-14.495
1,109.872	-13.875
1,119.87	-13.743
1,129.869	-13.985
1,139.868	-14.33
1,149.867	-14.394
1,159.866	-14.3
1,169.865	-14.263
1,179.864	-14.243
1,189.862	-14.199
1,199.861	-14.052
1,209.86	-13.974
1,219.859	-13.879
1,229.858	-13.842
1,239.857	-13.77
1,249.855	-13.661
1,259.854	-13.356
1,269.853	-12.744
1,279.852	-12.74
1,289.851	-13.276
1,299.85	-14.356
1,309.848	-15.358
1,319.847	-16.313
1,329.846	-16.565
1,339.845	-16.167
1,349.844	-15.736
1,359.843	-15.327
1,369.842	-15.085
1,379.84	-15.366
1,389.839	-16.127
1,399.838	-16.995
1,409.837	-17.202
1,419.836	-16.101
1,429.835	-14.179
1,439.833	-13.62
1,449.832	-13.858
1,459.831	-14.96
1,469.83	-16.231
1,479.829	-17.094
1,489.828	-17.192
1,499.826	-16.412
1,509.825	-15.534
1,519.824	-14.947
1,529.823	-14.701
1,539.822	-14.887
1,549.821	-15.097
1,559.82	-15.078
1,569.818	-14.737
1,579.817	-13.596
1,589.816	-12.457
1,599.815	-11.805
1,609.814	-11.646
1,619.813	-11.593
1,629.811	-11.234
1,639.81	-10.88
1,649.809	-10.596
1,659.808	-10.282
1,669.807	-9.991
1,679.806	-9.768
1,689.805	-9.649
1,699.803	-9.596
1,709.802	-9.622
1,719.801	-9.395
1,729.8	-9.107
1,739.799	-8.477
1,749.798	-7.676
1,759.796	-6.739
1,769.795	-5.709
1,779.794	-4.624
1,789.793	-3.529
1,799.792	-2.446
1,809.791	-1.405
1,819.789	-0.595
1,829.788	-0.226
1,839.787	-0.023
1,849.786	0.082
1,859.785	0.115
1,869.784	0.122
1,879.783	0.118
1,889.781	0.172
1,899.78	0.274
1,909.779	0.466
1,919.778	1.795
1,929.777	4.048
1,939.776	9.78
1,949.774	13.997
1,959.773	15.163
1,969.772	16.028
1,979.771	15.718
1,989.77	15.236
1,999.769	15.365
2,009.768	16.242
2,019.766	17.204
2,029.765	18.557
2,039.764	20.402
2,049.763	21.782
2,059.762	23.106
2,069.761	23.391
2,079.759	23.576
2,089.758	22.804
2,099.757	23.003
2,109.756	22.447
2,119.755	22.931
2,129.754	23.241
2,139.752	23.311
2,149.751	23.443
2,159.75	23.701
2,169.749	24.017

