! This is the 369-815 taf/yr Trinity minimum required flow based on the Trinity River index - data provided by Derek Hilts
Trinitymin
month           wyt_TRIN                       river_q         
1               1                               373                                                                                                                                                                           
2               1                               300                                                                                                                                                                           
3               1                               300                                                                                                                                                                          
4               1                               300                                                                                                                                                                                          
5               1                               300                                                                                                                                                                                          
6               1                               300                                                                                                                                                                                          
7               1                               427                                                                                                                                                                                          
8               1                               4570                                                                                                                                                                                               
9               1                               4626                                                                                                                                                                                               
10              1                               1102                                                                                                                                                                                               
11              1                               450                                                                                                                                                                                               
12              1                               450                                                                                                                                                                            
1               2                               373                                        
2               2                               300  
3               2                               300  
4               2                               300            
5               2                               300            
6               2                               300            
7               2                               460            
8               2                               4709           
9               2                               2526           
10              2                               1102           
11              2                               450            
12              2                               450  
1               3                               373  
2               3                               300  
3               3                               300  
4               3                               300             
5               3                               300             
6               3                               300             
7               3                               493             
8               3                               4189            
9               3                               2120            
10              3                               1102            
11              3                               450            
12              3                               450  
1               4                               373  
2               4                               300  
3               4                               300  
4               4                               300             
5               4                               300             
6               4                               300             
7               4                               540            
8               4                               2924           
9               4                               783            
10              4                               450            
11              4                               450             
12              4                               450  
1               5                               373  
2               5                               300  
3               5                               300  
4               5                               300  
5               5                               300  
6               5                               300  
7               5                               600  
8               5                               1498 
9               5                               783 
10              5                               450 
11              5                               450  
12              5                               450  
